,nombre,Ciudad,Departamento,Pais,descripcion,latitud,longitud
145,Cafeteria y restaurante Coffee Break,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Coffee houses, Restaurante, Cafetería</span>",6.1459627,-75.37934
146,Pataconia,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1501226,-75.39305940000001
147,Beijing Yue Yuan,Rionegro,Antioquia,Colombia,"<span class=""grey""> / China</span>",6.127761599999999,-75.3823756
148,Banquetes La Porteñita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.153595,-75.4093288
149,BEEF PARRILLA PORVENIR,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>",6.1480042,-75.386562
150,Hel'arte Helados Fritos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1303278,-75.3797601
151,Winpies,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>",6.130367499999999,-75.3813351
152,Relax Wings,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pub y bar</span>",6.1555431,-75.3735729
153,Barcelona,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>",6.1326274,-75.3788035
154,Finca hotel zona 7,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Comida rápida, Cafetería, Coffee houses</span>",6.1961086,-75.36476139999999
155,Crokan Pollo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1482266,-75.3866039
156,Randys Sports Bar & Grill,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Pub y bar, Restaurante</span>",6.1264088,-75.42400239999999
157,Mundo Verde,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1240706,-75.4214349
158,La Villa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante, Comida rápida</span>",6.1493287,-75.3574841
159,Líbano Pizza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante, Comida rápida</span>",6.148675,-75.38633999999999
160,La Abuela Nita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.121167,-75.4283507
161,"Pizza, Rush Pizzería, Domicilios, Rionegro",Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Pizzería</span>",6.1298137,-75.3814526
162,Olé,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1275903,-75.4236128
163,Coma Y Vuelva,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante</span>",6.1489948,-75.3861647
164,Marinero´s Restaurant,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.128777899999999,-75.3815406
165,Supermercado Pepe Tiendas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.156338,-75.36935799999999
166,Candilejas Llanogrande,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1232323,-75.4211017
167,El Rancho De Juanda Porvenir,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.148149999999999,-75.386404
168,El Punto Del Tamal,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.127492600000001,-75.3825332
169,Ricuras Rionegro,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>",6.1572038,-75.371272
170,Angus Azul,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1308507,-75.38034979999999
171,La Lechona De Juanpis,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1539676,-75.3706878
172,Rancho Paisa,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1533007,-75.3744964
173,BONA FESTA Eventos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.1499081,-75.3742955
174,Estadero y tienda LA ESPERANZA,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.125626,-75.41869609999999
175,Licorería Licoriente La 70,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.149918,-75.39017
176,Vamos Donde Oliva,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante, Cafetería</span>",6.158806999999999,-75.37056199999999
177,Ferretería Entel Ingenieros,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.151157,-75.385567
178,Mercado La Manuelita,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>",6.16127,-75.37407
