nombre,Ciudad,Departamento,Pais,descripcion
Roller Burguer Gourmet,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Barbacoa, Restaurante</span>"
restaurante orzo,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Restaurante Mondongos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
CALICHEPAN,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Coffee houses</span>"
Flamas parrilla bar,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla, Pub y bar</span>"
Parrilla bar El Tablón,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Pub y bar, Barbacoa, Parrilla</span>"
Restaurante Bar santa Pieta,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante</span>"
Frisby Reserva Plaza,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Brasa y Leña,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
La Parrilla Del Chef,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>"
Burger King,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Rancho Hildebrando,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Café, Restaurante, Pub y bar, Barbacoa</span>"
Restaurante Kioskos,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Fuego Sagrado,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Restaurante</span>"
Sabor & Arte Al Carbón,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pizzería, Restaurante</span>"
El Palacio de los Frijoles,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
BEEF PARRILLA SAN ANTONIO,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante, Parrilla</span>"
Tucan Cafe,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Comida rápida, Café, Restaurante</span>"
Mall la contenta,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Minimercado El Llanito,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Pisco y Marisco,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Restaurante</span>"
La Colonia Galeria Gastronomica,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Brac Food & Wine,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Pub y bar, Restaurante, Barbacoa</span>"
The Fries Expertos En Papas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Restaurante La Panera,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
El Coyote,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Donde Martha Comidas Rapidas,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Restaurante</span>"
Subway,Rionegro,Antioquia,Colombia,"<span class=""grey""> / Marisco, Comida rápida</span>"
