nombre,Ciudad,Departamento,Pais,Descripcion,latitud,longitud
Pisco y Marisco,Rionegro,Antioquia,Colombia," Marisco, Restaurante",6.1247006,-75.4229906
La Colonia Galeria Gastronomica,Rionegro,Antioquia,Colombia, Restaurante,6.1210673,-75.4281472
Brac Food & Wine,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante, Barbacoa",6.1275052,-75.4160739
The Fries Expertos En Papas,Rionegro,Antioquia,Colombia, Restaurante,6.1274995,-75.3822598
Restaurante La Panera,Rionegro,Antioquia,Colombia, Restaurante,6.1508689,-75.3955325
El Coyote,Rionegro,Antioquia,Colombia, Restaurante,6.129355,-75.3800924
Donde Martha Comidas Rapidas,Rionegro,Antioquia,Colombia, Restaurante,6.1306022,-75.379635
Subway,Rionegro,Antioquia,Colombia," Marisco, Comida rápida",6.1534026,-75.3747401
Mar y Fuego Restaurante - Bar,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.136922,-75.3911333
Hamburguesas Rionegro | Qsollados,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1480008,-75.3861219
La Pizarra Gourmet “Bar & Grill”,Rionegro,Antioquia,Colombia," Barbacoa, Pub y bar, Restaurante",6.1274695,-75.3825731
Rollings Deluxe,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1259414,-75.419255
Comidas Rápidas El Cucho,Rionegro,Antioquia,Colombia, Restaurante,6.1573661,-75.3751477
Veggiverso,Rionegro,Antioquia,Colombia," Restaurante, Vegetarianos",6.0204734,-75.4330923
Haré Pa' Tu Gusto,Rionegro,Antioquia,Colombia, Restaurante,6.1490349,-75.3681166
El rancho de Juanda,Rionegro,Antioquia,Colombia, Restaurante,6.157174,-75.3751926
Helga Pizzeria & La Terraza Bar - La Ceja,Rionegro,Antioquia,Colombia," Pub y bar, Pizzería, Restaurante",6.0305355,-75.4311227
Sr PIG,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.177638,-75.5859524
NUNKI WINGS,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1491214,-75.3861811
Asados Doña Rosa,Rionegro,Antioquia,Colombia," Restaurante, Barbacoa",6.1478878,-75.3781642
Fonda La Mariana,Rionegro,Antioquia,Colombia, Restaurante,6.1276526,-75.4158147
Asadero Rapi Pollo,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.152024,-75.3744
Simon Panadero,Rionegro,Antioquia,Colombia, Restaurante,6.1562065,-75.3690682
Cafeteria y restaurante Coffee Break,Rionegro,Antioquia,Colombia," Coffee houses, Restaurante, Cafetería",6.1459627,-75.37934
Pataconia,Rionegro,Antioquia,Colombia, Restaurante,6.1501226,-75.3930594
Beijing Yue Yuan,Rionegro,Antioquia,Colombia, China,6.1277616,-75.3823756
Banquetes La Porteñita,Rionegro,Antioquia,Colombia, Restaurante,6.153595,-75.4093288
BEEF PARRILLA PORVENIR,Rionegro,Antioquia,Colombia," Restaurante, Parrilla",6.1480042,-75.386562
Hel'arte Helados Fritos,Rionegro,Antioquia,Colombia, Restaurante,6.1303278,-75.3797601
Winpies,Rionegro,Antioquia,Colombia," Pizzería, Restaurante",6.1303675,-75.3813351
Relax Wings,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante, Pub y bar",6.1555431,-75.3735729
Barcelona,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1326274,-75.3788035
Finca hotel zona 7,Rionegro,Antioquia,Colombia," Restaurante, Comida rápida, Cafetería, Coffee houses",6.1961086,-75.3647614
Crokan Pollo,Rionegro,Antioquia,Colombia, Restaurante,6.1482266,-75.3866039
Randys Sports Bar & Grill,Rionegro,Antioquia,Colombia," Barbacoa, Pub y bar, Restaurante",6.1264088,-75.4240024
Mundo Verde,Rionegro,Antioquia,Colombia, Restaurante,6.1240706,-75.4214349
La Villa,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante, Comida rápida",6.1493287,-75.3574841
Líbano Pizza,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Comida rápida",6.148675,-75.38634
La Abuela Nita,Rionegro,Antioquia,Colombia, Restaurante,6.121167,-75.4283507
"Pizza, Rush Pizzería, Domicilios, Rionegro",Rionegro,Antioquia,Colombia," Comida rápida, Restaurante, Pizzería",6.1298137,-75.3814526
Olé,Rionegro,Antioquia,Colombia, Restaurante,6.1275903,-75.4236128
Coma Y Vuelva,Rionegro,Antioquia,Colombia," Barbacoa, Restaurante",6.1489948,-75.3861647
Marinero´s Restaurant,Rionegro,Antioquia,Colombia, Restaurante,6.1287779,-75.3815406
Supermercado Pepe Tiendas,Rionegro,Antioquia,Colombia, Restaurante,6.156338,-75.369358
Candilejas Llanogrande,Rionegro,Antioquia,Colombia, Restaurante,6.1232323,-75.4211017
El Rancho De Juanda Porvenir,Rionegro,Antioquia,Colombia, Restaurante,6.14815,-75.386404
El Punto Del Tamal,Rionegro,Antioquia,Colombia, Restaurante,6.1274926,-75.3825332
Ricuras Rionegro,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1572038,-75.371272
Angus Azul,Rionegro,Antioquia,Colombia, Restaurante,6.1308507,-75.3803498
La Lechona De Juanpis,Rionegro,Antioquia,Colombia, Restaurante,6.1539676,-75.3706878
Rancho Paisa,Rionegro,Antioquia,Colombia, Restaurante,6.1533007,-75.3744964
BONA FESTA Eventos,Rionegro,Antioquia,Colombia, Restaurante,6.1499081,-75.3742955
Estadero y tienda LA ESPERANZA,Rionegro,Antioquia,Colombia, Restaurante,6.125626,-75.4186961
Licorería Licoriente La 70,Rionegro,Antioquia,Colombia, Restaurante,6.149918,-75.39017
Vamos Donde Oliva,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante, Cafetería",6.158807,-75.370562
Ferretería Entel Ingenieros,Rionegro,Antioquia,Colombia, Restaurante,6.151157,-75.385567
Mercado La Manuelita,Rionegro,Antioquia,Colombia, Restaurante,6.16127,-75.37407
Angus Azul,Rionegro,Antioquia,Colombia, Restaurante,6.1308507,-75.3803498
RESTAURANTE RAPIPOLLO,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.1178157,-75.3893003
Finca Villaura,Rionegro,Antioquia,Colombia, Restaurante,6.1774868,-75.3775947
RESTAURANTE BAR NOA NOA,Rionegro,Antioquia,Colombia," Pub y bar, Restaurante",6.128742,-75.3797688
Pizzería la Malagueña,Rionegro,Antioquia,Colombia," Pizzería, Restaurante, Italiana",6.1529658,-75.409615
LUCIANA,Rionegro,Antioquia,Colombia, Restaurante,6.1479297,-75.3829552
Comidas El Caleñito,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.155995,-75.374229
Comidas Rápidas Deli Provocación,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1479549,-75.386126
Kokoriko,Rionegro,Antioquia,Colombia," Comida rápida, Restaurante",6.1535724,-75.3737365
